file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,44,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,42
static\style.css,45,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,39
static\style.css,46,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,37
static\style.css,47,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,34
static\style.css,48,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,49,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,50,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,11
static\style.css,51,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,48
static\style.css,52,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,48
static\style.css,53,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,62
static\style.css,54,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,43
static\style.css,55,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,69
static\style.css,56,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,57,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,58,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,12
static\style.css,59,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,16
static\style.css,60,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,8
static\style.css,61,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,10
static\style.css,62,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,19
static\style.css,63,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,7
static\style.css,64,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,65,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,66,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,21
static\style.css,67,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,2,47
static\style.css,68,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,69,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,70,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,19
static\style.css,71,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,33
static\style.css,72,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,2,13
static\style.css,73,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,74,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,23
static\style.css,75,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,2,10
static\style.css,76,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,21
static\style.css,77,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,78,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,5
static\style.css,79,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,2,17
static\style.css,80,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,2
static\style.css,81,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,11
static\style.css,82,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,83,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,4
static\style.css,84,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,32
static\style.css,85,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,52
static\style.css,86,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,27
static\style.css,87,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,88,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,10
static\style.css,89,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,31
static\style.css,90,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,48
static\style.css,91,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,92,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,13
static\style.css,93,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,38
static\style.css,94,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,95,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,96,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,2
static\style.css,97,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,27
static\style.css,98,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,99,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,0
static\style.css,100,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,9
static\style.css,101,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,24
static\style.css,102,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,71
static\style.css,103,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,27
static\style.css,104,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,26
static\style.css,105,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,106,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,107,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,6
static\style.css,108,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,24
static\style.css,109,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,25
static\style.css,110,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,39
static\style.css,111,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,28
static\style.css,112,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,113,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,114,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,9
static\style.css,115,css,6282f6d3,KaikyBraga,2025-03-27,12:42:52,-03:00,2025-03-27T12:42:52-03:00,0,21
static\style.css,116,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
static\style.css,117,css,5d2bbddb,KaikyBraga,2025-03-20,12:53:37,-03:00,2025-03-20T12:53:37-03:00,0,0
